PARTICIPANT ID,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY
0,09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:53:44,M50-54
1,08-21,Ironman70.3Timberman,INDIVIDUAL,04:59:33,M40-44
1,07-31,TrimemphréMagog,TRIATHLONSPRINT,01:15:04,M40-44
1,06-27,Ironman70.3Mont-Tremblant,INDIVIDUEL,05:24:08,M40-44
1,06-05,TriathlonChallengeAntoine-ManseauJoliette,TRIATHLONSPRINTAGCOUPEDUQUÉBEC,01:12:04,M40-44
1,04-24,BanqueScotia21KdeMontreal,DEMIMARATHON,-1,M40-44
1,07-26,TrimemphréMagog,TRIATHLONSPRINT,01:19:08,M40-44
1,06-27,Demi-MarathondeSherbrooke,5KM,00:17:39,M40-49
1,04-26,BanqueScotia21KdeMontreal,5KM,00:19:17,M40-44
1,06-28,DemiMarathondeSherbrooke,5KM,00:31:41,M30-39
1,04-27,BanqueScotia21kmet5km,21KM,-1,M35-39
1,09-22,MarathonOasisdeMontreal,MARATHON,03:17:46,M35-39
1,06-29,DemiMarathondeSherbrooke,DEMI-MARATHON,01:30:10,M30-39
1,05-26,OttawaRaceWeekend,OTTAWAHALF-MARATHON-DEMI-MARATHON,-1,M35-39
1,06-30,DemiMarathondeSherbrooke,DEMIMARATHON,01:49:14,M30-39
1,05-27,OttawaRaceWeekend,HALFMARATHON,01:40:08,M35-39
2,09-20,MarathonOasisRock'n'RolldeMontreal,MARATHON,03:11:49,M40-44
2,08-23,Demi-MarathonBonnevilledeLachine,21.1KM,01:30:29,M40-49
2,09-28,MarathonOasisRock‘n’RolldeMontréal,MARATHON,03:23:39,M40-44
2,09-22,MarathonOasisdeMontreal,MARATHON,03:19:46,M40-44
2,09-23,MarathonOasisdeMontreal,MARATHON,03:33:20,M40-44
3,09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:16:00,M15-17
4,09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:49:56,F30-34
5,09-20,Marathon Oasis Rock 'n' Roll de Montreal,1 km - P'tit Marathon,00:04:59,M13+
6,09-22,Marathon Oasis de Montreal,Marathon,04:16:09,F25-29
7,09-20,MarathonOasisRock'n'RolldeMontreal,MARATHON,04:17:03,M30-34
7,08-23,Demi-MarathonBonnevilledeLachine,21.1KM,-1,M30-39
8,09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:01:00,F30-34
9,09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:59:11,F35-39
10,09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:24:51,M35-39
11,05-24,TamarackOttawaRaceWeekend,OTTAWAHALFMARATHON,-1,M35-39
11,09-28,MarathonOasisRock‘n’RolldeMontréal,P'TITMARATHON1KMTEL-JEUNES,00:07:51,M13+
11,09-22,MarathonOasisdeMontreal,1KMP'TITMARATHON,00:09:04,M13+
11,09-23,MarathonOasisdeMontreal,MARATHON,03:22:51,M30-34
12,09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:04:08,M45-49
13,09-22,Marathon Oasis de Montreal,Marathon,04:14:51,M50-54
14,09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:02:27,F25-29
15,09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:22:34,M45-49
16,09-22,Marathon Oasis de Montreal,Marathon,03:55:08,F30-34
17,08-24,Demi-marathonBonnevilledeLachine,DEMI-MARATHON,01:57:50,M30-39
17,02-16,DemiMarathonHypothermique,DEMI-MARATHON,02:16:15,M30-39
17,11-03,OkaRoadRace,HALFMARATHON,01:55:30,M30-39
17,09-22,MarathonOasisdeMontreal,1KMP'TITMARATHON,00:08:26,M13+
17,05-26,OttawaRaceWeekend,OTTAWAMARATHON,-1,M35-39
17,04-28,BanqueScotia21kmet5km,21KM,02:12:53,M35-39
17,02-17,DemiMarathonHypothermique,DEMI-MARATHON,02:03:09,M30-39
17,09-23,MarathonOasisdeMontreal,MARATHON,04:36:14,M35-39
17,04-29,BanqueScotia21kmet5km,"21,1KM",02:17:16,M35-39
18,09-28,MarathonOasisRock‘n’RolldeMontréal,DEMI-MARATHON,02:34:17,F35-39
18,05-25,TamarackOttawaRaceWeekend,SCOTIABANKOTTAWAHALFMARATHON,-1,F25-29
18,05-24,TamarackOttawaRaceWeekend,HTGSPORTS5K,-1,F35-39
18,09-22,MarathonOasisdeMontreal,MARATHON,04:14:04,F25-29
18,05-05,"GoodlifeTorontoMarathon,HalfMarathon,and5k",HALFMARATHON,02:10:52,F25-29
18,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:00:14,F25-29
18,06-02,Coursedesiles,21KM,02:02:09,M20-29
18,04-29,CoursePrintaniereOka,10KM,00:54:38,F20-29
