1,06-30,DemiMarathondeSherbrooke,DEMIMARATHON,01:49:14,M30-39
1,05-27,OttawaRaceWeekend,HALFMARATHON,01:40:08,M35-39

2,09-23,MarathonOasisdeMontreal,MARATHON,03:33:20,M40-44

11,09-23,MarathonOasisdeMontreal,MARATHON,03:22:51,M30-34

17,09-23,MarathonOasisdeMontreal,MARATHON,04:36:14,M35-39
17,04-29,BanqueScotia21kmet5km,"21,1KM",02:17:16,M35-39

18,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:00:14,F25-29
18,06-02,Coursedesiles,21KM,02:02:09,M20-29
18,04-29,CoursePrintaniereOka,10KM,00:54:38,F20-29

28,09-23,Marathon Oasis de Montreal,Marathon,03:30:40,M40-44

40,05-27,OttawaRaceWeekend,HALFMARATHON,01:41:20,M30-34

41,09-23,Marathon Oasis de Montreal,Marathon,04:24:50,M30-34

52,12-02,RiRaSanta5K,5KMRUN/WALK,00:36:53,M25-29
52,09-23,MarathonOasisdeMontreal,MARATHON,03:14:23,M25-29
52,09-08,TriathlonEspritdeMontreal,TRIATHLONOLYMPIQUE,02:36:27,M25-29

53,10-14,ScotiabankTorontoWaterfrontMarathon,HALFMARATHON,01:37:36,M30-34
53,06-16,TourduLacBrome,"22,2KMCHEMINDECAMPAGNE",02:15:26,M30-39
53,04-29,BanqueScotia21kmet5km,"21,1KM",01:58:34,M30-34

60,09-23,Marathon Oasis de Montreal,Marathon,03:46:04,M30-34

61,04-29,BanqueScotia21kmet5km,"21,1KM",01:51:39,M25-29

64,09-23,MarathonOasisdeMontreal,MARATHON,03:48:10,M35-39

66,09-23,MarathonOasisdeMontreal,MARATHON,03:32:19,M45-49
66,08-05,DéfiBoréalSainte-Anne-de-Bellevue,20KM,01:35:12,M40-49
66,06-03,DéfiTri-O-Lacs,10KM,00:43:50,M40-49

69,09-23,MarathonOasisdeMontreal,MARATHON,03:32:55,M30-34

84,09-23,MarathonOasisdeMontreal,MARATHON,03:57:08,F25-29
84,07-22,TriathlonTrimemphredeMagog,TRIATHLONOLYMPIQUE,04:23:32,F25-29
84,05-19,OttawaEarlyBirdTriathlonandDuathlon,LONGTRIATHLON,02:05:00,F25-29

93,09-23,MarathonOasisdeMontreal,MARATHON,03:20:46,M50-54

96,10-20,9RunRun,HALFMARATHON,02:04:13,M50-54
96,05-27,OttawaRaceWeekend,MARATHON,04:53:57,M50-54
96,03-25,AroundtheBayRoadRaces,30KM,03:39:05,M50-54

98,09-23,Marathon Oasis de Montreal,Marathon,04:45:35,M40-44

103,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:38:54,M30-34

105,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:04:52,F18-24

106,04-29,BanqueScotia21kmet5km,"21,1KM",02:08:06,F20-24

107,09-23,Marathon Oasis de Montreal,Marathon,04:01:46,M45-49

114,10-14,ClassiqueDuParcLaFontaine,10KM,00:45:25,M40-49
114,09-23,MarathonOasisdeMontreal,MARATHON,04:19:04,M40-44
114,09-09,Demi-MarathonGranby,DEMIMARATHON,01:48:36,M40-49
114,06-17,TourduLacBrome,20KMROUTE,01:58:58,M40-49
