runnerId,allTimeAvg,noRaces,category,resultTime
0,16115,0,52.0,14024
2,12335,4,42.0,11509
3,19289,0,16.0,15360
7,15810,1,32.0,15423
8,15810,0,32.0,21660
9,15645,0,37.0,17951
10,15645,0,37.0,15891
15,15838,0,47.0,12154
20,15674,0,42.0,20917
24,15674,0,42.0,15895
25,16115,5,52.0,17360
26,15838,0,47.0,20803
27,15838,0,47.0,13884
31,16166,0,21.0,12759
37,15810,0,32.0,17176
39,15674,0,42.0,20691
45,15838,0,47.0,15693
47,15810,0,32.0,15501
49,15674,0,42.0,16264
50,15838,0,47.0,24831
51,15919,0,27.0,19195
54,15645,0,37.0,23653
57,15810,0,32.0,13555
62,15674,0,42.0,19353
63,15810,0,32.0,17404
67,16166,0,21.0,13942
71,15674,0,42.0,17256
74,15919,0,27.0,21265
75,15645,1,37.0,13533
78,15645,0,37.0,16110
79,16115,0,52.0,20291
80,16115,0,52.0,27510
89,15810,0,32.0,16543
90,15674,0,42.0,12882
99,15645,1,37.0,20630
110,16166,0,21.0,14736
113,15645,0,37.0,17784
115,15645,0,37.0,19913
117,15674,3,42.0,20450
124,15838,1,47.0,14871
129,15838,4,47.0,14643
138,15674,0,42.0,21384
139,16771,0,62.0,19191
140,15231,8,42.0,16381
143,16166,0,21.0,13760
144,15645,0,37.0,18560
147,16166,0,21.0,14753
148,16115,2,52.0,17874
152,16166,1,21.0,13116
154,15810,1,32.0,21650
155,15919,0,27.0,15521
166,15674,0,42.0,14532
174,15838,0,47.0,24045
175,15919,0,27.0,23328
176,16622,1,42.0,14565
182,16115,0,52.0,14905
184,15919,0,27.0,16369
185,15464,7,42.0,17713
188,16166,0,21.0,22544
193,16337,2,42.0,19333
195,16166,0,21.0,19058
204,15674,0,42.0,22041
213,15810,0,32.0,17537
215,15215,1,52.0,19869
217,15810,5,32.0,19699
221,19661,3,42.0,22886
226,15838,0,47.0,19693
230,15919,0,27.0,17315
232,16166,0,21.0,11660
235,15919,0,27.0,22415
239,15674,0,42.0,17883
245,16166,0,21.0,15879
248,15674,1,42.0,17830
250,15919,0,27.0,15134
254,15810,0,32.0,17506
256,15674,0,42.0,18590
258,13623,8,52.0,13997
261,16115,1,52.0,24033
262,15838,0,47.0,17428
265,15458,1,37.0,14515
269,15919,0,27.0,12640
270,15838,5,47.0,15450
272,15810,1,32.0,14461
274,16166,2,21.0,14666
277,16115,0,52.0,18346
278,15645,0,37.0,11888
281,15810,0,32.0,15737
283,16166,0,21.0,18052
284,15645,2,37.0,17856
287,15674,0,42.0,12651
290,16152,1,57.0,17053
291,16115,5,52.0,16807
298,15645,0,37.0,15777
299,16115,2,52.0,18790
303,16115,1,52.0,18077
306,15645,0,37.0,16603
308,15645,0,37.0,16600
309,15645,0,37.0,15170
313,15674,0,42.0,22291
314,15674,0,42.0,11495
316,15674,1,42.0,19715
318,15645,0,37.0,17252
319,12323,4,42.0,12342
320,15645,0,37.0,15292
326,15674,0,42.0,21479
330,16166,0,21.0,17187
335,15674,5,42.0,18218
337,12270,2,42.0,11959
339,15810,0,32.0,15632
341,15645,1,37.0,13744
346,15919,0,27.0,17682
353,25523,5,21.0,27519
355,15838,3,47.0,17819
356,15645,0,37.0,17465
360,15810,0,32.0,17576
362,15919,0,27.0,16476
369,15810,0,32.0,14352
373,16152,0,57.0,19301
379,17331,9,57.0,21515
380,15810,0,32.0,23626
381,15645,1,37.0,17595
382,15838,0,47.0,19577
393,15674,1,42.0,13914
394,17196,11,67.0,14402
396,15838,0,47.0,11968
397,15674,0,42.0,14943
399,15810,1,32.0,17713
400,16115,0,52.0,21157
403,15645,1,37.0,16058
406,15645,0,37.0,21613
411,15674,1,42.0,16826
412,15984,2,47.0,15151
413,15674,0,42.0,23156
414,15838,1,47.0,14355
425,16771,3,62.0,19623
435,15838,0,47.0,14380
436,16152,0,57.0,14857
439,19289,1,16.0,19499
444,15838,0,47.0,14485
448,15838,0,47.0,15013
451,13258,2,21.0,13579
454,15645,0,37.0,12913
456,15810,3,32.0,13002
457,15810,0,32.0,15031
467,15645,0,37.0,11891
469,15919,1,27.0,11719
475,16152,5,57.0,15452
478,18267,2,37.0,16838
479,15645,0,37.0,12559
485,15810,0,32.0,20486
488,15810,0,32.0,14191
490,15810,2,32.0,9925
491,15810,0,32.0,19192
493,15810,0,32.0,15416
494,15838,2,47.0,18554
508,15838,0,47.0,12262
518,16115,1,52.0,16671
520,16166,0,21.0,14750
523,16401,1,37.0,15218
524,15645,0,37.0,16452
525,15919,0,27.0,16225
534,16166,0,21.0,15569
535,15645,0,37.0,17625
536,15810,2,32.0,21349
537,16166,0,21.0,18044
538,16115,0,52.0,19259
539,15645,2,37.0,12531
540,15810,1,32.0,17758
542,15838,0,47.0,23153
544,15674,0,42.0,14337
553,16166,0,21.0,18909
556,15674,0,42.0,18026
560,15645,0,37.0,15007
567,16166,0,21.0,17217
570,16166,0,21.0,19358
573,15838,4,47.0,17942
574,15810,1,32.0,16051
575,15674,0,42.0,12578
577,14884,15,52.0,15504
578,15810,0,32.0,16514
580,16152,4,57.0,13916
584,15810,0,32.0,15585
585,16152,0,57.0,13333
587,15645,0,37.0,16223
591,16166,2,21.0,14285
598,15674,0,42.0,20676
601,15810,1,32.0,17707
602,15645,0,37.0,17092
604,15919,1,27.0,24608
607,15919,0,27.0,15956
608,16115,0,52.0,18611
612,15838,0,47.0,14958
614,16166,0,21.0,17992
616,15645,0,37.0,20639
618,15838,1,47.0,15023
623,16166,0,21.0,13316
625,15810,0,32.0,13105
627,16115,0,52.0,22248
630,15674,2,42.0,17274
633,15674,0,42.0,21582
635,18419,4,52.0,19941
638,14823,6,47.0,12869
641,15674,0,42.0,14012
644,16115,0,52.0,14913
647,15674,0,42.0,18326
656,15674,1,42.0,12845
670,16152,1,57.0,15517
673,13220,4,47.0,13316
675,15810,0,32.0,14086
678,15838,0,47.0,17412
681,15838,5,47.0,16316
682,15838,0,47.0,17283
683,15674,0,42.0,16069
685,16166,0,21.0,16390
686,15674,0,42.0,16071
688,16152,0,57.0,13521
693,15838,0,47.0,14670
695,15919,0,27.0,12564
696,15919,0,27.0,21178
698,15645,0,37.0,11644
701,15810,1,32.0,13830
702,15810,1,32.0,17116
709,15645,1,37.0,14931
715,16166,0,21.0,13990
717,16115,0,52.0,16165
719,15838,2,47.0,14909
723,16115,0,52.0,15554
728,15674,0,42.0,13835
729,15645,0,37.0,14445
730,16115,0,52.0,14158
735,15645,0,37.0,12767
740,13767,4,42.0,16081
745,15674,2,42.0,18043
746,15810,0,32.0,18679
747,15919,0,27.0,14818
754,15674,8,42.0,17793
759,15674,0,42.0,12900
760,16152,0,57.0,16413
764,15838,0,47.0,14804
766,15810,1,32.0,18366
774,16771,0,62.0,23333
778,15674,0,42.0,12032
779,16166,1,21.0,16262
780,18316,1,47.0,21799
782,15919,0,27.0,17338
785,15645,0,37.0,17562
786,15810,2,32.0,20474
789,15919,0,27.0,18465
790,16152,4,57.0,16877
795,14375,8,37.0,14810
800,15645,1,37.0,13036
802,15838,0,47.0,19747
805,13894,8,37.0,12751
807,15645,2,37.0,20616
812,15838,0,47.0,15300
816,15674,0,42.0,17445
826,15810,0,32.0,10792
827,16115,0,52.0,13745
830,15674,0,42.0,13973
831,16166,0,21.0,20189
834,16152,2,57.0,21331
836,15919,0,27.0,16582
838,15919,0,27.0,14233
839,15919,0,27.0,17316
844,16193,1,27.0,18083
853,16166,0,21.0,18616
857,15645,3,37.0,19321
859,16152,0,57.0,19448
860,16166,0,21.0,15987
866,16166,0,21.0,13133
868,15838,0,47.0,20881
871,15919,0,27.0,18579
873,15838,3,47.0,13028
877,15919,0,27.0,18066
880,15674,0,42.0,13785
881,16115,0,52.0,15505
883,15645,2,37.0,20658
887,15645,0,37.0,14366
891,15674,2,42.0,16681
895,15674,0,42.0,15714
908,16115,5,52.0,14124
913,15919,0,27.0,19274
914,15810,0,32.0,18566
