playerId,noOfMontrealMarathons,numAllRaces,averageRuntimeInMarathons,category,didTheyAttend
0,0,0,16115,52.0,1
1,1,15,11866,37.0,0
2,3,4,12335,42.0,1
3,0,0,19289,16.0,1
4,1,1,17396,32.0,0
6,1,1,15369,27.0,0
7,0,1,15810,32.0,1
8,0,0,15810,32.0,1
9,0,0,15645,37.0,1
10,0,0,15645,37.0,1
11,1,4,12171,37.0,0
12,1,1,18248,47.0,0
13,1,1,15291,52.0,0
14,1,1,18147,27.0,0
15,0,0,15838,47.0,1
16,1,1,14108,32.0,0
17,1,9,16574,37.0,0
18,1,8,15244,37.0,0
20,0,0,15674,42.0,1
21,1,1,16367,52.0,0
22,1,3,14669,27.0,0
23,1,5,21413,37.0,0
24,0,0,15674,42.0,1
25,0,5,16115,52.0,1
26,0,0,15838,47.0,1
27,0,0,15838,47.0,1
28,1,1,12640,42.0,0
29,1,1,16082,47.0,0
31,0,0,16166,21.0,1
33,1,1,23482,42.0,0
34,1,8,14201,37.0,0
36,0,0,15674,42.0,1
37,0,0,15810,32.0,1
39,0,0,15674,42.0,1
40,1,15,13372,32.0,0
41,1,1,15890,32.0,0
42,1,1,16010,42.0,0
43,1,2,13555,27.0,0
44,1,1,17733,47.0,0
45,0,0,15838,47.0,1
46,1,20,16465,52.0,0
47,0,0,15810,32.0,1
48,1,5,15810,62.0,0
49,0,0,15674,42.0,1
50,0,0,15838,47.0,1
51,0,0,15919,27.0,1
52,1,5,11663,27.0,0
53,1,8,15416,32.0,0
54,0,0,15645,37.0,1
55,1,1,24623,32.0,0
56,1,3,12347,27.0,0
57,0,0,15810,32.0,1
58,1,1,16371,27.0,0
59,1,2,15003,27.0,0
60,1,1,13564,32.0,0
61,2,3,13686,27.0,0
62,0,0,15674,42.0,1
63,0,0,15810,32.0,1
64,1,3,13690,37.0,0
65,1,5,13124,47.0,0
66,3,9,12875,52.0,0
67,0,0,16166,21.0,1
68,1,1,18656,47.0,0
69,1,2,12775,32.0,0
71,0,0,15674,42.0,1
74,0,0,15919,27.0,1
75,0,1,15645,37.0,1
76,1,2,16979,37.0,0
78,0,0,15645,37.0,1
79,0,0,16115,52.0,1
80,0,0,16115,52.0,1
81,1,2,15810,32.0,0
82,1,1,17382,52.0,0
84,1,5,14228,27.0,0
85,1,2,18714,52.0,0
86,1,1,25969,32.0,0
89,0,0,15810,32.0,1
90,0,0,15674,42.0,1
91,1,1,16233,42.0,0
92,1,5,16195,47.0,0
93,1,2,12046,52.0,0
94,1,1,19823,42.0,0
96,1,7,17689,52.0,0
97,1,1,24315,37.0,0
98,1,1,17135,42.0,0
99,0,1,15645,37.0,1
101,1,1,15557,21.0,0
102,1,1,17873,47.0,0
103,1,5,13631,32.0,0
104,1,7,18419,47.0,0
105,1,3,21767,27.0,0
106,1,4,21656,21.0,0
107,1,1,14506,47.0,0
108,1,1,13876,27.0,0
110,0,0,16166,21.0,1
111,1,1,13260,32.0,0
113,0,0,15645,37.0,1
114,1,14,15544,42.0,0
115,0,0,15645,37.0,1
116,1,1,15338,57.0,0
117,0,3,15674,42.0,1
120,1,3,23828,32.0,0
121,1,6,15983,32.0,0
122,1,6,14599,32.0,0
123,1,1,16434,47.0,0
124,0,1,15838,47.0,1
125,1,2,13141,37.0,0
126,1,1,14530,32.0,0
127,2,2,16253,57.0,0
128,1,3,15812,21.0,0
129,0,4,15838,47.0,1
130,1,1,12437,32.0,0
131,1,1,15975,32.0,0
132,1,16,16783,52.0,0
133,1,1,13991,27.0,0
134,1,1,13921,52.0,0
137,1,11,15069,37.0,0
138,0,0,15674,42.0,1
139,0,0,16771,62.0,1
140,3,8,15231,42.0,1
141,1,2,15511,47.0,0
142,1,3,18485,37.0,0
143,0,0,16166,21.0,1
144,0,0,15645,37.0,1
145,1,7,14156,32.0,0
147,0,0,16166,21.0,1
148,0,2,16115,52.0,1
149,1,1,10743,42.0,0
152,0,1,16166,21.0,1
153,1,2,20422,47.0,0
154,0,1,15810,32.0,1
155,0,0,15919,27.0,1
157,2,18,12585,47.0,0
159,1,1,21364,27.0,0
160,1,1,8323,32.0,0
161,1,2,14970,27.0,0
162,2,5,16466,37.0,0
163,0,0,15674,42.0,1
165,1,2,16424,32.0,0
166,0,0,15674,42.0,1
167,1,1,23355,62.0,0
168,1,3,16351,42.0,0
169,1,1,13593,27.0,0
170,1,8,14269,32.0,0
171,1,3,15335,52.0,0
172,1,16,10675,37.0,0
173,1,1,17448,42.0,0
174,0,0,15838,47.0,1
175,0,0,15919,27.0,1
176,1,1,16622,42.0,1
181,1,7,17386,47.0,0
182,0,0,16115,52.0,1
183,1,1,20160,67.0,0
184,0,0,15919,27.0,1
185,1,7,15464,42.0,1
187,1,4,15838,47.0,0
188,0,0,16166,21.0,1
189,1,5,14891,57.0,1
190,1,4,13643,32.0,0
191,1,1,20837,42.0,0
192,1,3,17554,42.0,0
193,0,2,16337,42.0,1
194,1,4,13983,27.0,0
195,0,0,16166,21.0,1
196,1,1,18247,42.0,0
197,2,6,14751,37.0,0
198,1,6,15674,42.0,0
199,1,1,15578,47.0,0
202,3,11,16138,52.0,0
204,0,0,15674,42.0,1
205,2,5,11508,42.0,0
206,1,2,14990,52.0,0
207,2,17,9850,47.0,0
208,1,2,15655,37.0,0
210,1,2,15216,37.0,0
212,1,4,14436,42.0,0
213,0,0,15810,32.0,1
214,1,3,15295,27.0,0
215,1,1,15215,52.0,1
216,1,1,22830,21.0,0
217,0,5,15810,32.0,1
218,1,1,20255,37.0,0
220,1,1,18619,27.0,0
221,2,3,19661,42.0,1
222,1,2,16959,37.0,0
223,1,1,11663,32.0,0
224,1,2,16822,42.0,0
225,1,1,16667,47.0,0
226,0,0,15838,47.0,1
228,1,2,14267,27.0,0
229,1,7,19549,37.0,0
230,0,0,15919,27.0,1
231,1,6,13620,21.0,0
232,0,0,16166,21.0,1
233,1,2,16791,42.0,0
234,1,1,18302,16.0,0
235,0,0,15919,27.0,1
236,2,7,17279,52.0,0
237,1,3,17029,47.0,0
238,1,1,18098,52.0,0
239,0,0,15674,42.0,1
240,1,3,14345,37.0,0
241,1,1,16019,32.0,0
242,1,1,16611,52.0,0
243,1,1,12913,52.0,0
244,1,1,17074,37.0,0
245,0,0,16166,21.0,1
246,1,4,14335,27.0,0
247,1,8,14345,37.0,0
248,0,1,15674,42.0,1
249,1,5,15479,27.0,0
250,0,0,15919,27.0,1
252,1,1,15264,42.0,0
254,0,0,15810,32.0,1
255,1,1,19844,21.0,0
256,0,0,15674,42.0,1
257,1,2,16438,42.0,0
258,1,8,13623,52.0,1
259,1,7,16740,42.0,0
260,2,3,20253,21.0,0
261,0,1,16115,52.0,1
262,0,0,15838,47.0,1
263,1,1,17506,21.0,0
264,1,1,18392,32.0,0
265,1,1,15458,37.0,1
266,2,2,16516,62.0,0
267,1,1,15674,42.0,0
268,1,1,21757,16.0,0
269,0,0,15919,27.0,1
270,0,5,15838,47.0,1
272,0,1,15810,32.0,1
274,0,2,16166,21.0,1
275,2,2,6798,62.0,0
276,1,1,17663,52.0,0
277,0,0,16115,52.0,1
278,0,0,15645,37.0,1
280,1,2,15640,52.0,0
281,0,0,15810,32.0,1
282,2,7,12986,37.0,0
283,0,0,16166,21.0,1
284,0,2,15645,37.0,1
285,1,1,18477,52.0,0
286,1,5,15438,57.0,0
287,0,0,15674,42.0,1
288,1,1,12355,37.0,0
289,1,1,15645,37.0,0
290,0,1,16152,57.0,1
291,0,5,16115,52.0,1
293,1,1,16471,21.0,0
294,1,1,17518,52.0,0
295,1,1,19033,32.0,0
296,2,3,14429,42.0,0
298,0,0,15645,37.0,1
299,0,2,16115,52.0,1
301,1,1,16985,32.0,0
303,0,1,16115,52.0,1
304,1,1,19319,27.0,0
305,1,1,14887,21.0,0
306,0,0,15645,37.0,1
307,2,2,13635,21.0,0
308,0,0,15645,37.0,1
309,0,0,15645,37.0,1
310,1,2,17110,21.0,0
312,1,1,15413,27.0,0
313,0,0,15674,42.0,1
314,0,0,15674,42.0,1
315,1,25,13361,27.0,0
316,0,1,15674,42.0,1
317,1,4,16909,42.0,0
318,0,0,15645,37.0,1
319,2,4,12323,42.0,1
320,0,0,15645,37.0,1
321,3,4,13196,42.0,0
322,1,17,15080,37.0,0
326,0,0,15674,42.0,1
327,1,3,18730,37.0,0
328,1,3,23544,32.0,0
329,1,1,16336,37.0,0
330,0,0,16166,21.0,1
331,1,35,14825,21.0,0
332,1,37,15889,42.0,0
333,1,2,11198,32.0,0
334,1,2,13817,37.0,0
335,0,5,15674,42.0,1
336,1,2,19322,47.0,0
337,1,2,12270,42.0,1
339,0,0,15810,32.0,1
341,0,1,15645,37.0,1
342,1,6,13710,57.0,0
343,1,4,11893,27.0,0
344,1,6,16219,32.0,0
345,1,7,14836,32.0,0
346,0,0,15919,27.0,1
347,1,4,19914,52.0,0
348,1,4,24759,21.0,0
349,1,14,15043,32.0,0
350,2,3,13324,37.0,0
352,1,1,15014,37.0,0
353,1,5,25523,21.0,1
354,1,1,13221,57.0,0
355,0,3,15838,47.0,1
356,0,0,15645,37.0,1
357,1,3,13738,37.0,0
358,1,2,13270,57.0,0
359,1,10,13775,37.0,0
360,0,0,15810,32.0,1
362,0,0,15919,27.0,1
363,1,2,16120,37.0,0
364,1,5,13812,37.0,0
367,1,2,15810,32.0,0
368,1,1,16962,42.0,0
369,0,0,15810,32.0,1
370,1,1,17718,37.0,0
371,1,4,14058,47.0,0
372,1,2,22804,37.0,0
373,0,0,16152,57.0,1
375,1,7,15082,32.0,0
376,1,1,12256,27.0,0
377,1,1,12285,62.0,0
378,1,1,19927,32.0,0
379,2,9,17331,57.0,1
380,0,0,15810,32.0,1
381,0,1,15645,37.0,1
382,0,0,15838,47.0,1
383,1,6,16865,27.0,0
384,1,82,9765,52.0,0
387,2,21,9598,47.0,0
389,1,1,18260,27.0,0
391,0,0,15810,32.0,1
393,0,1,15674,42.0,1
394,0,11,17196,67.0,1
396,0,0,15838,47.0,1
397,0,0,15674,42.0,1
398,1,2,13237,21.0,0
399,0,1,15810,32.0,1
400,0,0,16115,52.0,1
401,1,2,17652,32.0,0
403,0,1,15645,37.0,1
404,1,3,12942,42.0,0
405,1,3,14801,21.0,0
406,0,0,15645,37.0,1
407,1,1,14565,37.0,0
408,1,1,16402,42.0,0
409,1,2,23819,27.0,0
410,1,14,13340,27.0,0
411,0,1,15674,42.0,1
412,0,2,15984,47.0,1
413,0,0,15674,42.0,1
414,0,1,15838,47.0,1
415,1,5,12032,52.0,0
416,1,3,18632,47.0,0
417,1,1,15850,27.0,0
418,1,1,13702,32.0,0
419,1,13,12867,32.0,0
420,2,5,17793,42.0,0
421,2,14,17553,52.0,0
422,1,1,14378,32.0,0
423,1,2,14290,57.0,0
424,1,7,18511,27.0,0
425,0,3,16771,62.0,1
426,1,4,20039,32.0,0
428,1,5,13996,47.0,0
430,1,1,15059,37.0,0
431,1,1,15292,27.0,0
432,2,8,14948,37.0,0
433,1,1,12498,27.0,0
434,1,3,14611,27.0,0
435,0,0,15838,47.0,1
436,0,0,16152,57.0,1
437,1,3,13220,42.0,0
438,1,3,14090,37.0,0
439,0,1,19289,16.0,1
440,1,1,23831,57.0,0
441,1,1,16166,21.0,0
442,1,17,12428,52.0,0
443,1,16,12404,32.0,0
444,0,0,15838,47.0,1
445,1,2,13885,32.0,0
446,1,1,21171,52.0,0
447,1,1,17037,21.0,0
448,0,0,15838,47.0,1
449,1,2,19341,32.0,0
450,1,1,15838,47.0,0
451,1,2,13258,21.0,1
452,1,1,15233,21.0,0
453,1,1,17781,27.0,0
454,0,0,15645,37.0,1
455,1,3,20477,42.0,0
456,0,3,15810,32.0,1
457,0,0,15810,32.0,1
459,1,1,13902,32.0,0
460,1,1,16628,42.0,0
461,1,9,12883,47.0,0
462,1,1,15591,42.0,0
463,1,10,18368,47.0,0
464,1,1,11815,42.0,0
465,1,1,15499,27.0,0
467,0,0,15645,37.0,1
468,2,4,14975,47.0,0
469,0,1,15919,27.0,1
470,1,1,15319,57.0,0
473,1,1,14426,27.0,0
474,1,2,16048,57.0,0
475,0,5,16152,57.0,1
