runnerId,avgWithoutCurrentYear,category,noOfRacesInCurrentYear











1,0,37.0,3




2,12335,42.0,2

2,12098,42.0,1
2,12176,42.0,1
2,11904,42.0,1




7,0,32.0,2





11,12171,37.0,1
11,12171,37.0,1
11,0,37.0,1








17,16574,37.0,5
17,16574,37.0,5


17,0,37.0,2




18,0,37.0,2







22,14669,27.0,1
22,0,27.0,2




23,0,37.0,2


25,0,52.0,2
















34,14201,37.0,4

34,13874,37.0,4
34,13874,37.0,4



















40,0,32.0,5







43,0,27.0,1






46,16465,52.0,4




46,16465,52.0,6



46,0,52.0,9




46,0,52.0,9



48,0,62.0,3










52,0,27.0,3




53,0,32.0,2








56,0,27.0,1


59,0,27.0,2


61,13625,27.0,1
61,13747,27.0,1





64,0,37.0,1
65,0,47.0,3






66,12777,52.0,2

66,12905,52.0,2
66,12905,52.0,2
66,12943,52.0,3





69,0,32.0,1






75,0,37.0,2


76,0,37.0,1





81,0,32.0,1





84,0,27.0,3


85,0,52.0,2












92,0,47.0,1
93,12046,52.0,1
93,0,52.0,1





96,17689,52.0,2
96,17637,52.0,1

96,17689,52.0,3




99,18196,37.0,1








103,0,32.0,2


104,0,47.0,5


104,0,47.0,5



105,0,27.0,1


106,0,21.0,2











114,15544,42.0,1
114,15544,42.0,1







114,0,42.0,6








117,0,42.0,1




120,0,32.0,2




121,0,32.0,1



122,0,32.0,4





124,0,47.0,2

125,0,37.0,2


127,15712,57.0,1
127,16794,57.0,1
128,0,21.0,1



129,0,47.0,2
129,0,47.0,2











132,0,52.0,4




132,16783,52.0,5














137,0,37.0,2





140,15231,42.0,1
140,15024,42.0,1

140,16087,42.0,5

140,16087,42.0,5

140,15732,42.0,2

141,0,47.0,2

142,0,37.0,2




145,12394,32.0,2
145,12394,32.0,2
145,14156,32.0,2
145,14156,32.0,2





148,0,52.0,1





152,0,21.0,1


153,0,47.0,1

154,0,32.0,1











157,11994,47.0,7



157,11994,47.0,7


157,13176,47.0,4







161,0,27.0,1

162,16290,37.0,2

162,16643,37.0,2



165,0,32.0,2




168,0,42.0,2






170,0,32.0,4



171,0,52.0,2


172,0,37.0,7


















176,16622,42.0,1
176,14565,42.0,1




181,0,47.0,3









185,15464,42.0,1
185,16214,42.0,6





185,16799,42.0,1



187,0,47.0,1




189,14891,57.0,1

189,9927,57.0,4
189,9927,57.0,4

189,7336,57.0,1

