2012-01-23,CruisetoRun,5KM
2012-01-27,CruisetoRunBarbados5k,5KM
2012-01-28,LeNorvegien-CoupedesMaitresJour1,JOUR1-20KMCLASSIQUE
2012-01-29,LeNorvegien-CoupedesmaitresJour2,JOUR2-22KMPATIN/STYLELIBRE
2012-01-29,LeNorvegien-CoupedesmaitresJour2,COUPEDESMAITRES-POURSUITEFINALE
2012-02-04,WinterludeTriathlonBaldeNeige,TRIATHLON
2012-02-18,DemiMarathonHypothermique,DEMIMARATHON
2012-02-18,DemiMarathonHypothermique,DEMIMARATHONMARCHE
2012-02-18,GatineauLoppet-Keskinada,16KMCLASSIQUE
2012-02-18,GatineauLoppet-Keskinada,31CLASSIQUE
2012-02-19,DéfiHivernalIleBizard,5KM
2012-02-19,DéfiHivernalIleBizard,10KM
2012-02-19,DéfiHivernalIleBizard,1.65KM
2012-02-19,GatineauLoppet-Keskinada,10KMPATIN/SKATE
2012-02-19,GatineauLoppet-Keskinada,31KMPATIN/SKATE
2012-02-19,WintermanMarathonandMarathonRelays,10KM
2012-02-19,WintermanMarathonandMarathonRelays,MARATHON
2012-02-19,WintermanMarathonandMarathonRelays,HALFMARATHON
2012-02-26,Morin-HeightsVikingLoppet,JANNORDSTROM10KMCLASSIQUE
2012-02-26,Morin-HeightsVikingLoppet,SMITH-JOHANNSEN33KMCLASSIQUE
2012-02-26,Morin-HeightsVikingLoppet,JACKWAHLBERG20KMCLASSIQUE
2012-02-26,Morin-HeightsVikingLoppet,5KMRAQUETTE
2012-03-04,ChillyHalfMarathon&Frosty5km,HALFMARATHON
2012-03-17,TourduMont-Valin,12KMRAQUETTE
2012-03-17,TourduMont-Valin,45KMSTYLELIBRE
2012-03-18,AchillesSt.Patrick'sDay5kmRun/Walk,5KMRUN
2012-03-25,AroundtheBayRoadRaces,30KM
2012-03-25,CourseetmarchepopulairesdeLaSalle,5KM
2012-03-25,CourseetmarchepopulairesdeLaSalle,10KM
2012-03-25,CourseetmarchepopulairesdeLaSalle,2KM
2012-04-01,IronmanLonestar70.3,OVERALL
2012-04-07,Harry'sSpringRunOff,5KM
2012-04-07,Harry'sSpringRunOff,8KM
2012-04-15,RunforRetina,SISKINDSHALFMARATHONRUN
2012-04-15,VancouverSunRun,10KM
2012-04-22,CourseSaint-Laurent,5KM
2012-04-22,CourseSaint-Laurent,10KM
2012-04-22,CourseSaint-Laurent,2KM
2012-04-22,OttawaPhysioRace,10KM
2012-04-22,SmithFallsSpringFlingRunningThing,HALFMARATHON
2012-04-22,TorontoYongeStreet10K,10KM
2012-04-28,"RuntoendMSHalf-Marathon,5kmand10km",5KM
2012-04-28,"RuntoendMSHalf-Marathon,5kmand10km",HALFMARATHON
2012-04-28,"RuntoendMSHalf-Marathon,5kmand10km",10KM
2012-04-29,BanqueScotia21kmet5km,"21,1KM"
2012-04-29,BanqueScotia21kmet5km,5KM
2012-04-29,CoursePrintaniereOka,10KM
2012-04-29,CoursePrintaniereOka,"21,1KM"
2012-04-29,CoursePrintaniereOka,5KM
2012-05-05,MississaugaMarathonRaces,10KM
2012-05-05,NorthFaceEnduranceChallenge-NortheastRegional,50MILES
2012-05-05,WakefieldCoveredBridgeRun,20KMTRAILRUN
2012-05-05,WakefieldCoveredBridgeRun,10KMRUN/WALK
2012-05-06,BMOVancouverMarathon,HALF-MARATHON
2012-05-06,BMOVancouverMarathon,MARATHON
2012-05-06,CourseduFortdeChambly,5KM
2012-05-06,CourseduFortdeChambly,10KM
2012-05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON
2012-05-06,DemiMarathonInternationaldeQuebec,10KM
2012-05-06,DéficourseetmarcheDesjardinsSainteThérèse,10KM
2012-05-06,DéficourseetmarcheDesjardinsSainteThérèse,5KM
2012-05-06,DéficourseetmarcheDesjardinsSainteThérèse,2KM
2012-05-06,"GoodlifeTorontoMarathon,HalfMarathon,and5k",MARATHON
2012-05-06,"GoodlifeTorontoMarathon,HalfMarathon,and5k",HALFMARATHON
2012-05-06,MississaugaMarathonRaces,MARATHON
2012-05-06,MississaugaMarathonRaces,HALFMARATHON
2012-05-12,CoursedelaFondationhopitalSaintJerome,"21,1KM"
2012-05-12,CoursedelaFondationhopitalSaintJerome,10KM
2012-05-12,CoursedelaFondationhopitalSaintJerome,5KM
2012-05-12,LeChallengeIRCM-Courirpourlavie,5KM
2012-05-13,AurythmedenosfouléesChâteauguay,DEMI-MARATHON
2012-05-13,AurythmedenosfouléesChâteauguay,10KM
2012-05-13,AurythmedenosfouléesChâteauguay,5KM
2012-05-13,BonjourPrintemps,21KM
2012-05-13,DefiGerardCotedeSt-Hyacinthe,15KM
2012-05-13,DefiGerardCotedeSt-Hyacinthe,5KM
2012-05-13,SportingLife10K,10KM
2012-05-19,ColonelByClassic,8KM
2012-05-19,OttawaEarlyBirdTriathlonandDuathlon,LONGTRIATHLON
2012-05-19,OttawaEarlyBirdTriathlonandDuathlon,SPRINTTRIATHLON
