15kmaupiedduMontSaint-Hilaire,10KM
15kmaupiedduMontSaint-Hilaire,5KM
2014VancouverSunRun,10KM
2016CanadianTriathlonChampionshipsandOttawaCAMTRIAmericanCup,CANADIANSPRINTDISTANCECHAMPIONSHIPS
2016CanadianTriathlonChampionshipsandOttawaCAMTRIAmericanCup,STANDARDDISTANCECHAMPIONSHIPS
30kmsurlesrivesdeBoucherville,10KM
30kmsurlesrivesdeBoucherville,15KM
30kmsurlesrivesdeBoucherville,30KM
30kmsurlesrivesdeBoucherville,5KM
5i50Mont-Tremblant,5I50INDIVIDUEL
5i50Mont-Tremblant,SPRINTINDIVIDUEL
5kand15kFarmRun,15KM
8thAnnualRunWalk4PatrickFamilyFest,HALFMARATHON
9RunRun,10KM
9RunRun,HALFMARATHON
9thAnnualRun4Patrick,HALFMARATHON
ALungRun,COOPERATORS5KM
ALungRun,MINTOCHAPMANMILLS10KM
AMidSummerNightsRun,15KMRUN
AMidSummerNightsRun,30KM
AMidSummerNightsRun,30KMRACE
AchillesSt.Patrick'sDay5K,5KM
AchillesSt.Patrick'sDay5kmRun/Walk,5KMRUN
AcrossTheLakeSwim,2.1KMSWIM
AcrosstheLakeSwim,2.1KM
AppleTriathlon,OLYMPIC
ArmyRun-Coursedel'Armée,1/2MARATHON-DEMI-MARATHON
ArmyRun-Coursedel'Armée,5KM
ArmyRun-Coursedel'Armée,HALFMARATHON-DEMIMARATHON
ArmyRun-Coursedel'armee,5KRUN-COURSEDE5K
ArmyRun-Coursedel'armee,HALFMARATHON-DEMIMARATHON
ArmyRun/CoursedelArmee,5K
ArmyRun/CoursedelArmee,HALFMARATHON
AroundtheBay30KRoadRace,30KM
AroundtheBay30KRoadRace,30KMOMACHAMPIONSHIPS
AroundtheBayRoadRaces,30KM
AurythmedenosfouléesChâteauguay,10KM
AurythmedenosfouléesChâteauguay,5KM
AurythmedenosfouléesChâteauguay,DEMI-MARATHON
Avotrerythme,10KM
Avotrerythme,5KM
Avotrerythme,DEMI-MARATHON
B&OYORKVILLERUN,CANADIAN5KMROADRACECHAMPIONSHIP
B&OYorkvillerun,5KM
BARRHAVENRUNFORROGER'SHOUSE,10KM
BARRIEWATERFRONTHALFMARATHON,HALFMARATHON
BMOOkanaganMarathon,HALFMARATHON
BMOOkanaganMarathon,MARATHON
BMOVancouverMarathon,HALF-MARATHON
BMOVancouverMarathon,HALFMARATHON
BMOVancouverMarathon,MARATHON
BRACEBRIDGETriathlon,SPRINTTRIATHLON
BanqueScotia21KdeMontreal,5KM
BanqueScotia21KdeMontreal,DEMIMARATHON
BanqueScotia21kmet5km,"21,1KM"
BanqueScotia21kmet5km,21KM
BanqueScotia21kmet5km,21KMMEDIACHALLENGE
BanqueScotia21kmet5km,5KM
BanqueScotia21kmet5km,5KMMEDIACHALLENGE
BarrhavenRunforRoger'sHouse,10K
BarrhavenRunforRoger'sHouse,10KM
BarrieHalfMarathon,HALFMARATHON
BeatBeethoven8KmRun,8KM
BeauceRUN,10K
BeauceRUN,21.1K
BeauceRUN,5KM-COURSE
BeauceRUN,MARATHONBEAUCERON
BeauceRun,5KMCOURSE
BeauceRun,DEMIMARATHON
BonjourPrintemps,10KM
BonjourPrintemps,21KM
BonjourPrintemps,5KM
BonjourPrintemps,DEMI-MARATHON
BonjourPrintemps,DEMIMARATHON
BreadandHoneyRaces,15KM
BreadandHoneyRaces,5KM
BreadandHoneyRoadRace,15KM
Bushtukah-CanadaDayRoadRaces,5KM
BushtukahBringontheBay3KOpenWaterSwim,3K
BushtukahBringontheBay3KOpenWaterSwim,3KM
BushtukahBringontheBay3KOpenWaterSwimforEasterSeals,3KM
CGCOttawaGameofLife5K&10KRun/Walk,10KM
CGCOttawaGameofLife5K&10KRun/Walk,5KM
COURIRANOTRESANTÉFONDATIONSAINT-JEROME,10KM
COURIRANOTRESANTÉFONDATIONSAINT-JEROME,5KMCOURSEETMARCHE
COURIRANOTRESANTÉFONDATIONSAINT-JEROME,DEMIMARATHON
COURSED’ÉTÉDESÎLESDEBOUCHERVILLE,10KMCOURSE
COURSED’ÉTÉDESÎLESDEBOUCHERVILLE,5KMCOURSE
COURSED’ÉTÉDESÎLESDEBOUCHERVILLE,DEMIMARATHON
COURSEPRINTANIEREPARCNATIONALD'OKA,10KMCOURSE
COURSEPRINTANIEREPARCNATIONALD'OKA,21KM
CanadaDay5K,CANADADAY5K
CanadianIron113TriathlonDuathlonandRelays,IRON113TRIATHLON
CanadianIron113TriathlonDuathlonandRelays,OLYMPICTRIATHLON
CanadianIron113TriathlonDuathlonandRelays,SPRINTTRIATHLON
CanadianIron113TriathlonDuathlonandRelays,SUPERSPRINTTRIATHLON
CanadianIron226TriathlonDuathlonandRelays,IRON226DUATHLON
CanadianIron226TriathlonDuathlonandRelays,IRON226SWIMCYCLE
CanadianIron226TriathlonDuathlonandRelays,IRON226TRIATHLON
CanadianIron226TriathlonDuathlonandRelays,OLYMPICTRIATHLON
CanadianIron226TriathlonDuathlonandRelays,SUPERSPRINTTRIATHLON
CanadianIron226TriathlonDuathlonandRelays,THECANADIANIRON113TRIATHLON
CanadianIron226TriathlonDuathlonandRelays,THECANADIANIRON226TRIATHLON
CanadianIron226TriathlonDuathlonandRelays,THECANADIANOLYMPICTRIATHLON
CanadianIron226TriathlonDuathlonandRelays,THECANADIANSPRINTTRIATHLON
CanmoreRockyMountainHalfMarathon,10KM
CanmoreRockyMountainHalfMarathon,HALFMARATHON
CaymanIslandsMarathon,MARATHON
ChallengeAtlanticCity,CHALLENGE
ChallengeIRCM,10KM
ChallengeIRCM,5KMCOURSE
ChallengeO2Merrell,CHALLENGEO2
ChallengeO2Merrell,DUATHLONOLYMPIQUE
ChallengeO2Merrell,TRIATHLONOLYMPIQUE
ChallengeO2Merrell,TRIATHLONSPRINT
ChillyHalfMarathon&Frosty5km,HALFMARATHON
ChillyHalfMarathon&Frosty5km,HALFMARATHONRUN
ClassiqueDuParcLaFontaine,10KM
ClassiqueDuParcLaFontaine,1KM
ClassiqueDuParcLaFontaine,2KM
ClassiqueDuParcLaFontaine,5KM
ClassiqueEmilie-Mondor,10KM
ClassiqueEmilie-Mondor,5KM
ClassiqueEmilie-Mondor,EXTREME8
ClassiqueduParcLaFontaine,10KM
ClassiqueduParcLaFontaine,1KM
ClassiqueduParcLaFontaine,5KM
ColonelByClassic,8KM
CornwallTRIATHLON,OLYMPICTRIATHLON
CornwallTRIATHLON,SPRINTDUATHLON
CornwallTRIATHLON,SPRINTTRIATHLON
CornwallTriathlon,OLYMPICTRIATHLON
CornwallTriathlon,SPRINTTRIATHLON
CoupeDix30,10KM
CoupeDix30,15KM
CoupeDix30,21KM
CoupeDix30,30KM
CoupeDix30,5KM
CoupeDix30-Étape6,10KM
CoupeDix30-Étape6,5KM
CoupeDix302012,10KM
CoupeDix302012,5KM
Coursaprèsmoi,10KM
Course10kmApocalypse/CoursedesCitrouilles,10KMCOURSE
Course10kmApocalypse/CoursedesCitrouilles,1KMCOURSE
Course10kmApocalypse/CoursedesCitrouilles,5KMCOURSE
CourseFondationHotelDieudeSorel,10.5KM-COURSE
CourseFondationHotelDieudeSorel,21KM
CourseFondationHotelDieudeSorel,5KM-COURSE
CourseFondationJeunessedel'EcoleSecondaired'Oka,5KM
CourseMECLongueuil#1,10KM
CourseMECLongueuil#1,5KM
CourseMECLongueuil#2,10KM
CourseMECLongueuil#2,15KM
CourseMECLongueuil#2,5KM
CourseMECLongueuil#3,10KM
CourseMECLongueuil#3,21.1KM
CourseMECLongueuil#3,5KM
CourseMECLongueuil#4,10KM
CourseMECLongueuil#4,21.1KM
CourseMECLongueuil#4,5KM
CourseMECLongueuil#5,15KM
